1::Toy Story (1995)::An;imation|Children's|Comedy
166::Doom Generation, T;he (1995)::Comedy|Drama
167::Feast of July (199;5)::Drama
168::First Knight (1995;)::Action|Adventure|Drama|Romance
169::Free Willy 2: The;Adventure Home (1995)::Adventure|Children's|Drama
170::Hackers (1995)::Ac;tion|Crime|Thriller
171::Jeffrey (1995)::Co;medy
172::Johnny Mnemonic (1;995)::Action|Sci-Fi|Thriller
173::Judge Dredd (1995);::Action|Adventure|Sci-Fi
174::Jury Duty (1995)::;Comedy
175::Kids (1995)::Drama;
176::Living in Oblivion;(1995)::Comedy
177::Lord of Illusions;(1995)::Horror
178::Love & Human Remai;ns (1993)::Comedy
179::Mad Love (1995)::D;rama|Romance
180::Mallrats (1995)::C;omedy
181::Mighty Morphin Pow;er Rangers: The Movie (1995)::Action|Children's
182::Moonlight and Vale;ntino (1995)::Drama|Romance
183::Mute Witness (1994;)::Thriller
184::Nadja (1994)::Dram;a
185::Net, The (1995)::S;ci-Fi|Thriller
186::Nine Months (1995);::Comedy
187::Party Girl (1995):;:Comedy
188::Prophecy, The (199;5)::Horror
189::Reckless (1995)::C;omedy
190::Safe (1995)::Thril;ler
191::Scarlet Letter, Th;e (1995)::Drama
192::Show, The (1995)::;Documentary
193::Showgirls (1995)::;Drama
194::Smoke (1995)::Dram;a
195::Something to Talk;About (1995)::Comedy|Drama|Romance
196::Species (1995)::Ho;rror|Sci-Fi
197::Stars Fell on Henr;ietta, The (1995)::Drama
198::Strange Days (1995;)::Action|Crime|Sci-Fi
199::Umbrellas of Cherb;ourg, The (Parapluies de Cherbourg, Les) (1964)::Drama|Musical
200::Tie That Binds, Th;e (1995)::Thriller
201::Three Wishes (1995;)::Drama
202::Total Eclipse (199;5)::Drama|Romance
203::To Wong Foo, Thank;s for Everything! Julie Newmar (1995)::Comedy
204::Under Siege 2: Dar;k Territory (1995)::Action
205::Unstrung Heroes (1;995)::Comedy|Drama
206::Unzipped (1995)::D;ocumentary
207::Walk in the Clouds;, A (1995)::Drama|Romance
208::Waterworld (1995):;:Action|Adventure
209::White Man's Burden;(1995)::Drama
210::Wild Bill (1995)::;Western
211::Browning Version,;The (1994)::Drama
212::Bushwhacked (1995);::Comedy
213::Burnt By the Sun (;Utomlyonnye solntsem) (1994)::Drama
214::Before the Rain (P;red dozhdot) (1994)::Drama
215::Before Sunrise (19;95)::Drama|Romance
216::Billy Madison (199;5)::Comedy
217::Babysitter, The (1;995)::Drama|Thriller
218::Boys on the Side (;1995)::Comedy|Drama
219::Cure, The (1995)::;Drama
220::Castle Freak (1995;)::Horror
222::Circle of Friends;(1995)::Drama|Romance
223::Clerks (1994)::Com;edy
224::Don Juan DeMarco (;1995)::Comedy|Drama|Romance
225::Disclosure (1994):;:Drama|Thriller
226::Dream Man (1995)::;Thriller
227::Drop Zone (1994)::;Action
228::Destiny Turns on t;he Radio (1995)::Comedy
229::Death and the Maid;en (1994)::Drama|Thriller
230::Dolores Claiborne;(1994)::Drama|Thriller
231::Dumb & Dumber (199;4)::Comedy
232::Eat Drink Man Woma;n (1994)::Comedy|Drama
233::Exotica (1994)::Dr;ama
234::Exit to Eden (1994;)::Comedy
235::Ed Wood (1994)::Co;medy|Drama
236::French Kiss (1995);::Comedy|Romance
237::Forget Paris (1995;)::Comedy|Romance
238::Far From Home: The;Adventures of Yellow Dog (1995)::Adventure|Children's
239::Goofy Movie, A (19;95)::Animation|Children's|Comedy|Romance
240::Hideaway (1995)::T;hriller
241::Fluke (1995)::Chil;dren's|Drama
242::Farinelli: il cast;rato (1994)::Drama|Musical
243::Gordy (1995)::Come;dy
244::Gumby: The Movie (;1995)::Animation|Children's
245::Glass Shield, The;(1994)::Crime|Drama
246::Hoop Dreams (1994);::Documentary
247::Heavenly Creatures;(1994)::Drama|Fantasy|Romance|Thriller
248::Houseguest (1994):;:Comedy
249::Immortal Beloved (;1994)::Drama|Romance
250::Heavyweights (1994;)::Children's|Comedy
251::Hunted, The (1995);::Action
252::I.Q. (1994)::Comed;y|Romance
253::Interview with the;Vampire (1994)::Drama|Horror
254::Jefferson in Paris;(1995)::Drama
255::Jerky Boys, The (1;994)::Comedy
256::Junior (1994)::Com;edy|Sci-Fi
257::Just Cause (1995):;:Mystery|Thriller
258::Kid in King Arthur;'s Court, A (1995)::Adventure|Children's|Comedy|Fantasy|Romance
259::Kiss of Death (199;5)::Crime|Drama|Thriller
260::Star Wars: Episode;IV - A New Hope (1977)::Action|Adventure|Fantasy|Sci-Fi
261::Little Women (1994;)::Drama
262::Little Princess, A;(1995)::Children's|Drama
263::Ladybird Ladybird;(1994)::Drama
264::Enfer, L' (1994)::;Drama
265::Like Water for Cho;colate (Como agua para chocolate) (1992)::Drama|Romance
266::Legends of the Fal;l (1994)::Drama|Romance|War|Western
267::Major Payne (1994);::Comedy
268::Little Odessa (199;4)::Drama
269::My Crazy Life (Mi;vida loca) (1993)::Drama
270::Love Affair (1994);::Drama|Romance
271::Losing Isaiah (199;5)::Drama
272::Madness of King Ge;orge, The (1994)::Drama
273::Mary Shelley's Fra;nkenstein (1994)::Drama|Horror
274::Man of the House (;1995)::Comedy
275::Mixed Nuts (1994):;:Comedy
276::Milk Money (1994):;:Comedy|Romance
277::Miracle on 34th St;reet (1994)::Drama
278::Miami Rhapsody (19;95)::Comedy
279::My Family (1995)::;Drama
280::Murder in the Firs;t (1995)::Drama|Thriller
281::Nobody's Fool (199;4)::Drama
282::Nell (1994)::Drama;
283::New Jersey Drive (;1995)::Crime|Drama
284::New York Cop (1996;)::Action|Crime
285::Beyond Bedlam (199;3)::Drama|Horror
286::Nemesis 2: Nebula;(1995)::Action|Sci-Fi|Thriller
287::Nina Takes a Lover;(1994)::Comedy|Romance
288::Natural Born Kille;rs (1994)::Action|Thriller
289::Only You (1994)::C;omedy|Romance
290::Once Were Warriors;(1994)::Crime|Drama
291::Poison Ivy II (199;5)::Thriller
292::Outbreak (1995)::A;ction|Drama|Thriller
293::Professional, The;(a.k.a. Leon: The Professional) (1994)::Crime|Drama|Romance|Thriller
294::Perez Family, The;(1995)::Comedy|Romance
295::Pyromaniac's Love;Story, A (1995)::Comedy|Romance
296::Pulp Fiction (1994;)::Crime|Drama
297::Panther (1995)::Dr;ama
298::Pushing Hands (199;2)::Comedy
299::Priest (1994)::Dra;ma
300::Quiz Show (1994)::;Drama
301::Picture Bride (199;5)::Drama|Romance
302::Queen Margot (La R;eine Margot) (1994)::Drama|Romance
303::Quick and the Dead;, The (1995)::Action|Adventure|Western
304::Roommates (1995)::;Comedy|Drama
305::Ready to Wear (Pre;t-A-Porter) (1994)::Comedy
306::Three Colors: Red;(1994)::Drama
307::Three Colors: Blue;(1993)::Drama
308::Three Colors: Whit;e (1994)::Drama
309::Red Firecracker, G;reen Firecracker (1994)::Drama
310::Rent-a-Kid (1995):;:Comedy
311::Relative Fear (199;4)::Horror|Thriller
312::Stuart Saves His F;amily (1995)::Comedy
313::Swan Princess, The;(1994)::Animation|Children's
314::Secret of Roan Ini;sh, The (1994)::Drama
315::Specialist, The (1;994)::Action
316::Stargate (1994)::A;ction|Adventure|Sci-Fi
317::Santa Clause, The;(1994)::Children's|Comedy|Fantasy
318::Shawshank Redempti;on, The (1994)::Drama
319::Shallow Grave (199;4)::Thriller
320::Suture (1993)::Fil;m-Noir|Thriller
321::Strawberry and Cho;colate (Fresa y chocolate) (1993)::Drama
322::Swimming with Shar;ks (1995)::Comedy|Drama
324::Sum of Us, The (19;94)::Comedy
325::National Lampoon's;Senior Trip (1995)::Comedy
326::To Live (Huozhe) (;1994)::Drama
327::Tank Girl (1995)::;Action|Comedy|Musical|Sci-Fi
328::Tales From the Cry;pt Presents: Demon Knight (1995)::Horror
329::Star Trek: Generat;ions (1994)::Action|Adventure|Sci-Fi
330::Tales from the Hoo;d (1995)::Comedy|Horror
331::Tom & Viv (1994)::;Drama
332::Village of the Dam;ned (1995)::Horror|Sci-Fi
333::Tommy Boy (1995)::;Comedy
334::Vanya on 42nd Stre;et (1994)::Drama
335::Underneath, The (1;995)::Mystery|Thriller
336::Walking Dead, The;(1995)::Drama|War
337::What's Eating Gilb;ert Grape (1993)::Drama
338::Virtuosity (1995):;:Sci-Fi|Thriller
339::While You Were Sle;eping (1995)::Comedy|Romance
340::War, The (1994)::A;dventure|Drama
341::Double Happiness (;1994)::Drama
342::Muriel's Wedding (;1994)::Comedy|Romance
343::Baby-Sitters Club,;The (1995)::Children's
344::Ace Ventura: Pet D;etective (1994)::Comedy
345::Adventures of Pris;cilla, Queen of the Desert, The (1994)::Comedy|Drama
346::Backbeat (1993)::D;rama|Musical
347::Bitter Moon (1992);::Drama
348::Bullets Over Broad;way (1994)::Comedy
349::Clear and Present;Danger (1994)::Action|Adventure|Thriller
350::Client, The (1994);::Drama|Mystery|Thriller
351::Corrina, Corrina (;1994)::Comedy|Drama|Romance
352::Crooklyn (1994)::C;omedy
353::Crow, The (1994)::;Action|Romance|Thriller
354::Cobb (1994)::Drama;
355::Flintstones, The (;1994)::Children's|Comedy
356::Forrest Gump (1994;)::Comedy|Romance|War
357::Four Weddings and;a Funeral (1994)::Comedy|Romance
358::Higher Learning (1;995)::Drama
359::I Like It Like Tha;t (1994)::Comedy|Drama|Romance
360::I Love Trouble (19;94)::Action|Comedy
361::It Could Happen to;You (1994)::Drama|Romance
362::Jungle Book, The (;1994)::Adventure|Children's|Romance
363::Wonderful, Horribl;e Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)::Documentary
364::Lion King, The (19;94)::Animation|Children's|Musical
365::Little Buddha (199;3)::Drama
366::Wes Craven's New N;ightmare (1994)::Horror
367::Mask, The (1994)::;Comedy|Crime|Fantasy
368::Maverick (1994)::A;ction|Comedy|Western
369::Mrs. Parker and th;e Vicious Circle (1994)::Drama
370::Naked Gun 33 1/3:;The Final Insult (1994)::Comedy
371::Paper, The (1994):;:Comedy|Drama
372::Reality Bites (199;4)::Comedy|Drama
373::Red Rock West (199;2)::Thriller
374::Richie Rich (1994);::Children's|Comedy
375::Safe Passage (1994;)::Drama
376::River Wild, The (1;994)::Action|Thriller
377::Speed (1994)::Acti;on|Romance|Thriller
378::Speechless (1994):;:Comedy|Romance
379::Timecop (1994)::Ac;tion|Sci-Fi
380::True Lies (1994)::;Action|Adventure|Comedy|Romance
381::When a Man Loves a;Woman (1994)::Drama
382::Wolf (1994)::Drama;|Horror
383::Wyatt Earp (1994):;:Western
384::Bad Company (1995);::Action
385::Man of No Importan;ce, A (1994)::Drama
386::S.F.W. (1994)::Dra;ma
387::Low Down Dirty Sha;me, A (1994)::Action|Comedy
388::Boys Life (1995)::;Drama
389::Colonel Chabert, L;e (1994)::Drama|Romance|War
390::Faster Pussycat! K;ill! Kill! (1965)::Action|Comedy|Drama
391::Jason's Lyric (199;4)::Crime|Drama
392::Secret Adventures;of Tom Thumb, The (1993)::Adventure|Children's
393::Street Fighter (19;94)::Action
394::Coldblooded (1995);::Action
395::Desert Winds (1995;)::Drama
396::Fall Time (1995)::;Drama
397::Fear, The (1995)::;Horror
398::Frank and Ollie (1;995)::Documentary
399::Girl in the Cadill;ac (1995)::Drama
400::Homage (1995)::Dra;ma
401::Mirage (1995)::Act;ion|Thriller
402::Open Season (1996);::Comedy
403::Two Crimes (1995):;:Comedy|Crime|Drama
404::Brother Minister:;The Assassination of Malcolm X (1994)::Documentary
405::Highlander III: Th;e Sorcerer (1994)::Action|Sci-Fi
406::Federal Hill (1994;)::Drama
407::In the Mouth of Ma;dness (1995)::Horror|Thriller
408::8 Seconds (1994)::;Drama
409::Above the Rim (199;4)::Drama
410::Addams Family Valu;es (1993)::Comedy
411::You So Crazy (1994;)::Comedy
412::Age of Innocence,;The (1993)::Drama
413::Airheads (1994)::C;omedy
414::Air Up There, The;(1994)::Comedy
415::Another Stakeout (;1993)::Comedy|Thriller
416::Bad Girls (1994)::;Western
417::Barcelona (1994)::;Comedy|Romance
418::Being Human (1993);::Drama
419::Beverly Hillbillie;s, The (1993)::Comedy
420::Beverly Hills Cop;III (1994)::Action|Comedy
421::Black Beauty (1994;)::Adventure|Children's
422::Blink (1994)::Thri;ller
423::Blown Away (1994):;:Action|Thriller
424::Blue Chips (1994):;:Drama
425::Blue Sky (1994)::D;rama|Romance
426::Body Snatchers (19;93)::Horror|Sci-Fi|Thriller
427::Boxing Helena (199;3)::Mystery|Romance|Thriller
428::Bronx Tale, A (199;3)::Drama
429::Cabin Boy (1994)::;Comedy
430::Calendar Girl (199;3)::Drama
431::Carlito's Way (199;3)::Crime|Drama
432::City Slickers II:;The Legend of Curly's Gold (1994)::Comedy|Western
433::Clean Slate (1994);::Comedy
434::Cliffhanger (1993);::Action|Adventure|Crime
435::Coneheads (1993)::;Comedy|Sci-Fi
436::Color of Night (19;94)::Drama|Thriller
437::Cops and Robberson;s (1994)::Comedy
438::Cowboy Way, The (1;994)::Action|Comedy
439::Dangerous Game (19;93)::Drama
440::Dave (1993)::Comed;y|Romance
441::Dazed and Confused;(1993)::Comedy
442::Demolition Man (19;93)::Action|Sci-Fi
443::Endless Summer 2,;The (1994)::Documentary
444::Even Cowgirls Get;the Blues (1993)::Comedy|Romance
445::Fatal Instinct (19;93)::Comedy
446::Farewell My Concub;ine (1993)::Drama|Romance
447::Favor, The (1994):;:Comedy|Romance
448::Fearless (1993)::D;rama
449::Fear of a Black Ha;t (1993)::Comedy
450::With Honors (1994);::Comedy|Drama
451::Flesh and Bone (19;93)::Drama|Mystery|Romance
452::Widows' Peak (1994;)::Drama
453::For Love or Money;(1993)::Comedy
454::Firm, The (1993)::;Drama|Thriller
455::Free Willy (1993):;:Adventure|Children's|Drama
456::Fresh (1994)::Dram;a
457::Fugitive, The (199;3)::Action|Thriller
458::Geronimo: An Ameri;can Legend (1993)::Drama|Western
459::Getaway, The (1994;)::Action
460::Getting Even with;Dad (1994)::Comedy
461::Go Fish (1994)::Dr;ama|Romance
462::Good Man in Africa;, A (1994)::Action|Adventure
463::Guilty as Sin (199;3)::Crime|Drama|Thriller
464::Hard Target (1993);::Action|Adventure|Crime|Thriller
465::Heaven & Earth (19;93)::Action|Drama|War
466::Hot Shots! Part De;ux (1993)::Action|Comedy|War
467::Live Nude Girls (1;995)::Comedy
468::Englishman Who Wen;t Up a Hill, But Came Down a Mountain, The (1995)::Comedy|Romance
469::House of the Spiri;ts, The (1993)::Drama|Romance
470::House Party 3 (199;4)::Comedy
471::Hudsucker Proxy, T;he (1994)::Comedy|Romance
472::I'll Do Anything (;1994)::Comedy|Drama
473::In the Army Now (1;994)::Comedy|War
474::In the Line of Fir;e (1993)::Action|Thriller
475::In the Name of the;Father (1993)::Drama
476::Inkwell, The (1994;)::Comedy|Drama
477::What's Love Got to;Do with It? (1993)::Drama
478::Jimmy Hollywood (1;994)::Comedy
479::Judgment Night (19;93)::Action
480::Jurassic Park (199;3)::Action|Adventure|Sci-Fi
481::Kalifornia (1993):;:Drama|Thriller
482::Killing Zoe (1994);::Thriller
483::King of the Hill (;1993)::Drama
484::Lassie (1994)::Adv;enture|Children's
485::Last Action Hero (;1993)::Action|Comedy
486::Life with Mikey (1;993)::Comedy
487::Lightning Jack (19;94)::Comedy|Western
488::M. Butterfly (1993;)::Drama
489::Made in America (1;993)::Comedy
490::Malice (1993)::Thr;iller
491::Man Without a Face;, The (1993)::Drama
492::Manhattan Murder M;ystery (1993)::Comedy|Mystery
493::Menace II Society;(1993)::Action|Crime|Drama
494::Executive Decision;(1996)::Action|Thriller
495::In the Realm of th;e Senses (Ai no corrida) (1976)::Drama
496::What Happened Was.;.. (1994)::Comedy|Drama|Romance
497::Much Ado About Not;hing (1993)::Comedy|Romance
498::Mr. Jones (1993)::;Drama|Romance
499::Mr. Wonderful (199;3)::Comedy|Romance
500::Mrs. Doubtfire (19;93)::Comedy
501::Naked (1993)::Dram;a
502::Next Karate Kid, T;he (1994)::Action|Children's
503::New Age, The (1994;)::Drama
504::No Escape (1994)::;Action|Sci-Fi
505::North (1994)::Come;dy
506::Orlando (1993)::Dr;ama
507::Perfect World, A (;1993)::Action|Drama
508::Philadelphia (1993;)::Drama
509::Piano, The (1993):;:Drama|Romance
510::Poetic Justice (19;93)::Drama
511::Program, The (1993;)::Action|Drama
512::Robert A. Heinlein;'s The Puppet Masters (1994)::Horror|Sci-Fi
513::Radioland Murders;(1994)::Comedy|Mystery|Romance
514::Ref, The (1994)::C;omedy
515::Remains of the Day;, The (1993)::Drama
516::Renaissance Man (1;994)::Comedy|Drama|War
517::Rising Sun (1993):;:Action|Drama|Mystery
518::Road to Wellville,;The (1994)::Comedy
519::Robocop 3 (1993)::;Sci-Fi|Thriller
520::Robin Hood: Men in;Tights (1993)::Comedy
521::Romeo Is Bleeding;(1993)::Crime|Thriller
522::Romper Stomper (19;92)::Action|Drama
523::Ruby in Paradise (;1993)::Drama
524::Rudy (1993)::Drama;
525::Saint of Fort Wash;ington, The (1993)::Drama
526::Savage Nights (Nui;ts fauves, Les) (1992)::Drama
527::Schindler's List (;1993)::Drama|War
528::Scout, The (1994):;:Drama
529::Searching for Bobb;y Fischer (1993)::Drama
530::Second Best (1994);::Drama
531::Secret Garden, The;(1993)::Children's|Drama
532::Serial Mom (1994):;:Comedy|Crime|Horror
533::Shadow, The (1994);::Action
534::Shadowlands (1993);::Drama|Romance
535::Short Cuts (1993):;:Drama
536::Simple Twist of Fa;te, A (1994)::Drama
537::Sirens (1994)::Com;edy|Drama
538::Six Degrees of Sep;aration (1993)::Drama
539::Sleepless in Seatt;le (1993)::Comedy|Romance
540::Sliver (1993)::Thr;iller
541::Blade Runner (1982;)::Film-Noir|Sci-Fi
542::Son in Law (1993):;:Comedy
543::So I Married an Ax;e Murderer (1993)::Comedy|Romance|Thriller
544::Striking Distance;(1993)::Action
545::Harlem (1993)::Dra;ma
546::Super Mario Bros.;(1993)::Action|Adventure|Children's|Sci-Fi
547::Surviving the Game;(1994)::Action|Adventure|Thriller
548::Terminal Velocity;(1994)::Action
549::Thirty-Two Short F;ilms About Glenn Gould (1993)::Documentary
550::Threesome (1994)::;Comedy|Romance
551::Nightmare Before C;hristmas, The (1993)::Children's|Comedy|Musical
552::Three Musketeers,;The (1993)::Action|Adventure|Comedy
553::Tombstone (1993)::;Western
554::Trial by Jury (199;4)::Thriller
555::True Romance (1993;)::Action|Crime|Romance
556::War Room, The (199;3)::Documentary
557::Mamma Roma (1962):;:Drama
558::Pagemaster, The (1;994)::Action|Adventure|Animation|Children's|Fantasy
559::Paris, France (199;3)::Comedy
560::Beans of Egypt, Ma;ine, The (1994)::Drama
561::Killer (Bulletproo;f Heart) (1994)::Thriller
562::Welcome to the Dol;lhouse (1995)::Comedy|Drama
563::Germinal (1993)::D;rama
564::Chasers (1994)::Co;medy
565::Cronos (1992)::Hor;ror
566::Naked in New York;(1994)::Comedy|Romance
567::Kika (1993)::Drama;
568::Bhaji on the Beach;(1993)::Comedy|Drama
569::Little Big League;(1994)::Children's|Comedy
570::Slingshot, The (Kå;disbellan ) (1993)::Comedy|Drama
571::Wedding Gift, The;(1994)::Drama
572::Foreign Student (1;994)::Drama
573::Ciao, Professore!;(Io speriamo che me la cavo ) (1993)::Drama
574::Spanking the Monke;y (1994)::Comedy|Drama
575::Little Rascals, Th;e (1994)::Children's|Comedy
576::Fausto (1993)::Com;edy
577::Andre (1994)::Adve;nture|Children's
578::Hour of the Pig, T;he (1993)::Drama|Mystery
579::Scorta, La (1993):;:Thriller
580::Princess Caraboo (;1994)::Drama
581::Celluloid Closet,;The (1995)::Documentary
582::Metisse (Café au L;ait) (1993)::Comedy
583::Dear Diary (Caro D;iario) (1994)::Comedy|Drama
584::I Don't Want to Ta;lk About It (De eso no se habla) (1993)::Drama
585::Brady Bunch Movie,;The (1995)::Comedy
586::Home Alone (1990):;:Children's|Comedy
587::Ghost (1990)::Come;dy|Romance|Thriller
588::Aladdin (1992)::An;imation|Children's|Comedy|Musical
589::Terminator 2: Judg;ment Day (1991)::Action|Sci-Fi|Thriller
590::Dances with Wolves;(1990)::Adventure|Drama|Western
591::Tough and Deadly (;1995)::Action|Drama|Thriller
592::Batman (1989)::Act;ion|Adventure|Crime|Drama
